Feature,Importance
 Bwd Packet Length Std,0.3633723177251287
 Average Packet Size,0.1506491549543699
 Subflow Fwd Bytes,0.13092420576498875
Flow Bytes/s,0.09033084691850062
 act_data_pkt_fwd,0.07325499889793849
 Destination Port,0.056075072972991837
Init_Win_bytes_forward,0.01984345909064587
 Fwd IAT Min,0.014658052204992694
 Flow IAT Mean,0.014524151625069304
 Init_Win_bytes_backward,0.010867923103770598
 Bwd Packet Length Mean,0.009115156692780057
 PSH Flag Count,0.008892140501058495
 Bwd IAT Mean,0.007802384791012204
 Flow IAT Std,0.00751308265106863
 Bwd IAT Std,0.00660449592054774
 Fwd Header Length,0.004638942085966642
 Total Length of Bwd Packets,0.004590361226069621
 Fwd Packet Length Max,0.003933443924213389
 Idle Std,0.003265681549850959
 Flow IAT Min,0.002564085243726507
 Bwd Packets/s,0.002303469626886286
 Fwd Packet Length Std,0.0020143531077830177
 min_seg_size_forward,0.0019428419430856376
 Avg Bwd Segment Size,0.0017001640717482737
 Fwd Packet Length Min,0.0011071634134596808
 Subflow Bwd Bytes,0.001093654267694915
 Bwd Header Length,0.0008255705269969378
 Subflow Bwd Packets,0.0006069178660213824
 Down/Up Ratio,0.0004882832271696882
Fwd Packets/s,0.00047712313485524257
 Packet Length Variance,0.0004543533945814248
 Fwd IAT Std,0.00040443682252305513
FIN Flag Count,0.00039955221765505464
 URG Flag Count,0.0003882799284347939
 SYN Flag Count,0.00036690469217765686
 Fwd IAT Mean,0.00028142012476687565
 Flow IAT Max,0.0001900038955259635
 Packet Length Mean,0.0001659213735522108
 Bwd IAT Min,0.00015987649979811285
 Fwd Header Length.1,0.00013785742734042972
 Flow Packets/s,0.00013290052287157498
Subflow Fwd Packets,0.00011773450507707213
 Flow Duration,0.00011569495656918239
Fwd IAT Total,0.0001104403469486252
 Packet Length Std,0.00010675414376603093
 ACK Flag Count,9.349803434320306e-05
 Idle Min,8.196196517725055e-05
 Fwd IAT Max,7.252548785352952e-05
 Bwd IAT Max,6.690679955518699e-05
Bwd IAT Total,3.17154728618326e-05
 Fwd Packet Length Mean,2.7306053978973068e-05
Total Length of Fwd Packets,2.4577627727513658e-05
 Idle Max,2.188175712079982e-05
Bwd Packet Length Max,2.1725038523132725e-05
 Max Packet Length,1.3415330218743928e-05
 Avg Fwd Segment Size,1.2843288537308252e-05
Active Mean,7.040198063988397e-06
 Active Min,6.218269248532006e-06
 Total Fwd Packets,4.204886872759143e-06
 Active Max,2.5499079369652223e-06
 Total Backward Packets,0.0
 Active Std,0.0
Fwd Avg Bytes/Bulk,0.0
 Min Packet Length,0.0
 CWE Flag Count,0.0
 ECE Flag Count,0.0
 RST Flag Count,0.0
Idle Mean,0.0
 Fwd Avg Bulk Rate,0.0
 Fwd Avg Packets/Bulk,0.0
 Bwd URG Flags,0.0
 Fwd URG Flags,0.0
 Bwd PSH Flags,0.0
Fwd PSH Flags,0.0
 Bwd Avg Packets/Bulk,0.0
 Bwd Avg Bytes/Bulk,0.0
 Bwd Packet Length Min,0.0
Bwd Avg Bulk Rate,0.0
